Arrest_Quarter,Perceived_Race,Sex,Age_group__at_arrest_,ArrestLocDiv,Occurrence_Category,Actions_at_arrest___Concealed_i,Actions_at_arrest___Combative__,Actions_at_arrest___Resisted__d,Actions_at_arrest___Mental_inst,Actions_at_arrest___Assaulted_o,Actions_at_arrest___Cooperative,cfs_list
0,Black,F,1,12,Warrant,0,0,0,0,0,1,"[[0, 'Black', 'F', 1, '31', 'Warrant', 0, 0, 1, 0, 0, 1, 1], [0, 'Black', 'F', 1, '12', 'Warrant', 0, 0, 0, 0, 0, 1, 1], [0, 'Black', 'F', 1, '22', 'Warrant', 0, 1, 0, 0, 0, 1, 1], [0, 'Black', 'F', 1, '14', 'Warrant', 0, 0, 0, 0, 0, 1, 1], [0, 'Black', 'F', 1, '51', 'Warrant', 0, 0, 0, 0, 0, 1, 1], [0, 'Black', 'F', 1, '12', 'Warrant', 0, 0, 1, 1, 0, 1, 1], [0, 'Black', 'F', 1, '43', 'Warrant', 0, 0, 0, 0, 0, 1, 1], [0, 'Black', 'F', 1, '51', 'Warrant', 0, 0, 0, 0, 0, 1, 1], [0, 'Black', 'F', 1, '31', 'Warrant', 0, 0, 0, 0, 0, 1, 1], [0, 'Black', 'F', 1, '52', 'Warrant', 0, 0, 0, 0, 0, 1, 1]]"
4,Indigenous,F,5,XX,Robbery & Theft,0,0,0,0,0,0,"[[4, 'Indigenous', 'F', 5, '55', 'Robbery & Theft', 1, 0, 0, 0, 0, 0, 1], [4, 'Indigenous', 'F', 5, '54', 'Robbery & Theft', 1, 0, 0, 0, 0, 0, 1], [4, 'Indigenous', 'F', 5, '55', 'Robbery & Theft', 0, 0, 0, 0, 0, 0, 1], [4, 'Indigenous', 'F', 5, '14', 'Robbery & Theft', 0, 0, 0, 0, 0, 0, 1], [4, 'Indigenous', 'F', 5, '54', 'Robbery & Theft', 0, 0, 0, 0, 0, 0, 1], [4, 'Indigenous', 'F', 5, '54', 'Robbery & Theft', 0, 0, 0, 1, 0, 0, 1], [4, 'Indigenous', 'F', 5, '53', 'Robbery & Theft', 0, 0, 0, 0, 0, 0, 1], [4, 'Indigenous', 'F', 5, '53', 'Robbery & Theft', 1, 0, 0, 0, 0, 0, 1], [4, 'Indigenous', 'F', 5, '52', 'Robbery & Theft', 1, 0, 0, 0, 0, 0, 1], [4, 'Indigenous', 'F', 5, '14', 'Robbery & Theft', 0, 0, 0, 0, 0, 0, 1]]"
4,East/Southeast Asian,M,3,XX,Assault,0,0,0,0,0,0,[]
3,White,F,1,52,Vehicle Related (inc. Impaired),0,0,0,0,0,0,"[[3, 'White', 'F', 1, '31', 'Vehicle Related (inc. Impaired)', 0, 0, 0, 0, 0, 0, 1], [3, 'White', 'F', 1, '43', 'Vehicle Related (inc. Impaired)', 0, 0, 0, 1, 0, 0, 1], [3, 'White', 'F', 1, '55', 'Vehicle Related (inc. Impaired)', 1, 0, 0, 0, 0, 0, 1], [3, 'White', 'F', 1, '52', 'Vehicle Related (inc. Impaired)', 0, 0, 0, 0, 0, 0, 1], [3, 'White', 'F', 1, '52', 'Vehicle Related (inc. Impaired)', 1, 0, 0, 0, 0, 1, 1], [3, 'White', 'F', 1, '43', 'Vehicle Related (inc. Impaired)', 0, 0, 0, 0, 0, 0, 1], [3, 'White', 'F', 1, '52', 'Vehicle Related (inc. Impaired)', 0, 0, 0, 0, 0, 1, 1], [3, 'White', 'F', 1, '52', 'Vehicle Related (inc. Impaired)', 0, 0, 0, 0, 0, 0, 1], [3, 'White', 'F', 1, '52', 'Vehicle Related (inc. Impaired)', 0, 0, 0, 0, 0, 1, 1], [3, 'White', 'F', 1, '52', 'Vehicle Related (inc. Impaired)', 1, 0, 0, 0, 0, 0, 1]]"
0,Black,M,2,41,Impaired,0,0,0,0,0,0,"[[0, 'Black', 'M', 2, '41', 'Impaired', 1, 0, 1, 0, 0, 0, 1], [0, 'Black', 'M', 2, '23', 'Impaired', 0, 0, 0, 0, 0, 0, 1], [0, 'Black', 'M', 2, '41', 'Impaired', 0, 0, 0, 0, 0, 0, 1], [0, 'Black', 'M', 2, '23', 'Impaired', 0, 0, 1, 0, 0, 0, 1], [0, 'Black', 'M', 2, '23', 'Impaired', 1, 0, 1, 0, 0, 0, 1], [0, 'Black', 'M', 2, '23', 'Impaired', 0, 0, 0, 0, 0, 0, 1], [0, 'Black', 'M', 2, '23', 'Impaired', 0, 1, 0, 0, 0, 0, 1], [0, 'Black', 'M', 2, '23', 'Impaired', 0, 0, 0, 1, 0, 0, 1], [0, 'Black', 'M', 2, '23', 'Impaired', 0, 0, 0, 0, 0, 1, 1], [0, 'Black', 'M', 2, '41', 'Impaired', 0, 0, 1, 0, 0, 0, 1]]"
1,Latino,M,2,31,Assault,0,0,0,0,0,1,"[[1, 'Latino', 'M', 2, '52', 'Assault', 0, 0, 0, 0, 0, 1, 1], [1, 'Latino', 'M', 2, '11', 'Assault', 1, 0, 0, 0, 0, 1, 1], [1, 'Latino', 'M', 2, '52', 'Assault', 0, 0, 0, 1, 0, 1, 1], [1, 'Latino', 'M', 2, '43', 'Assault', 1, 0, 0, 0, 0, 1, 1], [1, 'Latino', 'M', 2, '55', 'Assault', 1, 0, 0, 0, 0, 1, 1], [1, 'Latino', 'M', 2, '43', 'Assault', 1, 0, 0, 0, 0, 1, 1], [1, 'Latino', 'M', 2, '52', 'Assault', 0, 0, 1, 0, 0, 1, 1], [1, 'Latino', 'M', 2, '52', 'Assault', 0, 0, 0, 0, 0, 1, 1], [1, 'Latino', 'M', 2, '43', 'Assault', 1, 0, 1, 0, 0, 1, 1], [1, 'Latino', 'M', 2, '43', 'Assault', 1, 0, 0, 0, 0, 1, 1]]"
3,Unknown or Legacy,F,3,XX,Other Statute & Other Incident Type,0,0,0,0,0,1,"[[3, 'Unknown or Legacy', 'F', 3, '53', 'Other Statute & Other Incident Type', 0, 0, 0, 0, 0, 1, 1], [3, 'Unknown or Legacy', 'F', 3, '53', 'Other Statute & Other Incident Type', 0, 0, 0, 1, 0, 1, 1], [3, 'Unknown or Legacy', 'F', 3, '53', 'Other Statute & Other Incident Type', 0, 0, 0, 0, 0, 1, 1], [3, 'Unknown or Legacy', 'F', 3, '53', 'Other Statute & Other Incident Type', 0, 0, 1, 0, 0, 1, 1], [3, 'Unknown or Legacy', 'F', 3, '53', 'Other Statute & Other Incident Type', 1, 0, 0, 0, 0, 1, 1], [3, 'Unknown or Legacy', 'F', 3, '53', 'Other Statute & Other Incident Type', 0, 1, 0, 0, 0, 1, 1], [3, 'Unknown or Legacy', 'F', 3, '53', 'Other Statute & Other Incident Type', 0, 0, 0, 0, 0, 1, 1], [3, 'Unknown or Legacy', 'F', 3, '53', 'Other Statute & Other Incident Type', 0, 0, 0, 0, 0, 1, 1], [3, 'Unknown or Legacy', 'F', 3, '53', 'Other Statute & Other Incident Type', 0, 0, 0, 0, 0, 1, 1], [3, 'Unknown or Legacy', 'F', 3, '52', 'Other Statute & Other Incident Type', 0, 0, 0, 1, 0, 1, 1]]"
3,South Asian,M,3,XX,Warrant,0,0,0,0,0,0,"[[3, 'South Asian', 'M', 3, '52', 'Warrant', 0, 1, 0, 0, 0, 0, 1], [3, 'South Asian', 'M', 3, '42', 'Warrant', 0, 0, 0, 0, 0, 0, 1], [3, 'South Asian', 'M', 3, '54', 'Warrant', 0, 0, 0, 0, 0, 0, 1], [3, 'South Asian', 'M', 3, '54', 'Warrant', 0, 0, 0, 0, 0, 1, 1], [3, 'South Asian', 'M', 3, '52', 'Warrant', 0, 0, 0, 0, 0, 0, 1], [3, 'South Asian', 'M', 3, '53', 'Warrant', 0, 0, 0, 0, 1, 0, 1], [3, 'South Asian', 'M', 3, '51', 'Warrant', 0, 0, 0, 0, 0, 0, 1], [3, 'South Asian', 'M', 3, '51', 'Warrant', 1, 0, 0, 0, 0, 0, 1], [3, 'South Asian', 'M', 3, '51', 'Warrant', 0, 0, 0, 0, 1, 0, 1], [3, 'South Asian', 'M', 3, '14', 'Warrant', 0, 0, 0, 0, 0, 1, 1]]"
3,Black,M,2,52,Sexual Related Crime,0,0,0,0,0,0,"[[3, 'Black', 'M', 2, '53', 'Sexual Related Crime', 0, 0, 1, 0, 0, 1, 1], [3, 'Black', 'M', 2, '53', 'Sexual Related Crime', 1, 0, 1, 0, 0, 0, 1], [3, 'Black', 'M', 2, '53', 'Sexual Related Crime', 0, 0, 0, 0, 0, 0, 1], [3, 'Black', 'M', 2, '53', 'Sexual Related Crime', 1, 0, 0, 0, 0, 1, 1]]"
3,White,M,3,43,Robbery/Theft,0,0,0,0,0,1,"[[3, 'White', 'M', 3, '53', 'Robbery/Theft', 1, 0, 1, 0, 0, 1, 1], [3, 'White', 'M', 3, '53', 'Robbery/Theft', 0, 0, 0, 0, 0, 1, 1], [3, 'White', 'M', 3, '53', 'Robbery/Theft', 0, 0, 0, 0, 1, 0, 1], [3, 'White', 'M', 3, '53', 'Robbery/Theft', 1, 0, 1, 0, 0, 1, 1], [3, 'White', 'M', 3, '53', 'Robbery/Theft', 0, 0, 0, 0, 0, 0, 1], [3, 'White', 'M', 3, '53', 'Robbery/Theft', 1, 0, 1, 0, 0, 1, 1], [3, 'White', 'M', 3, '53', 'Robbery/Theft', 0, 0, 0, 0, 1, 0, 1], [3, 'White', 'M', 3, '53', 'Robbery/Theft', 1, 0, 0, 0, 0, 1, 1], [3, 'White', 'M', 3, '53', 'Robbery/Theft', 0, 0, 0, 0, 0, 0, 1], [3, 'White', 'M', 3, '53', 'Robbery/Theft', 1, 0, 1, 0, 0, 0, 1]]"
0,Black,M,2,13,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,1,"[[0, 'Black', 'M', 2, '53', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 0, 0, 0, 1, 1], [0, 'Black', 'M', 2, '13', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 1, 0, 0, 1, 1], [0, 'Black', 'M', 2, '43', 'FTA/FTC/Compliance Check/Parollee', 0, 0, 0, 0, 0, 1, 1], [0, 'Black', 'M', 2, '13', 'FTA/FTC/Compliance Check/Parollee', 0, 0, 1, 0, 0, 1, 1], [0, 'Black', 'M', 2, '13', 'FTA/FTC/Compliance Check/Parollee', 0, 0, 1, 0, 0, 1, 1], [0, 'Black', 'M', 2, '13', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 1, 0, 0, 0, 1], [0, 'Black', 'M', 2, '43', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 1, 0, 0, 1, 1], [0, 'Black', 'M', 2, '13', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 0, 0, 0, 1, 1], [0, 'Black', 'M', 2, '13', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 0, 0, 0, 1, 1], [0, 'Black', 'M', 2, '13', 'FTA/FTC/Compliance Check/Parollee', 0, 0, 0, 0, 0, 1, 1]]"
4,Black,M,5,41,Robbery/Theft,0,0,0,0,0,1,[]
0,Black,M,2,XX,Police Category - Incident,0,0,0,0,0,0,[]
1,Black,M,3,XX,Other Statute & Other Incident Type,0,1,1,0,0,0,"[[1, 'Black', 'M', 3, '53', 'Other Statute & Other Incident Type', 0, 1, 1, 0, 0, 0, 1], [1, 'Black', 'M', 3, '55', 'Other Statute & Other Incident Type', 0, 1, 1, 0, 0, 0, 1], [1, 'Black', 'M', 3, '22', 'Other Statute & Other Incident Type', 1, 1, 1, 0, 0, 0, 1], [1, 'Black', 'M', 3, '14', 'Other Statute & Other Incident Type', 0, 1, 1, 0, 0, 0, 1], [1, 'Black', 'M', 3, '53', 'Other Statute & Other Incident Type', 0, 1, 1, 0, 0, 1, 1], [1, 'Black', 'M', 3, '55', 'Other Statute & Other Incident Type', 0, 1, 1, 0, 0, 1, 1], [1, 'Black', 'M', 3, '55', 'Other Statute & Other Incident Type', 0, 1, 1, 0, 0, 0, 1], [1, 'Black', 'M', 3, '14', 'Other Statute & Other Incident Type', 0, 1, 1, 0, 0, 1, 1], [1, 'Black', 'M', 3, '55', 'Other Statute & Other Incident Type', 1, 1, 1, 0, 0, 0, 1], [1, 'Black', 'M', 3, '52', 'Other Statute & Other Incident Type', 0, 1, 1, 0, 0, 0, 1]]"
1,Middle-Eastern,M,2,XX,Warrant,0,0,0,0,0,1,"[[1, 'Middle-Eastern', 'M', 2, '43', 'Warrant', 0, 0, 0, 1, 0, 1, 1], [1, 'Middle-Eastern', 'M', 2, '43', 'Warrant', 0, 0, 0, 0, 0, 1, 1], [1, 'Middle-Eastern', 'M', 2, '53', 'Warrant', 0, 0, 0, 0, 0, 1, 1], [1, 'Middle-Eastern', 'M', 2, '33', 'Warrant', 0, 1, 0, 0, 0, 1, 1], [1, 'Middle-Eastern', 'M', 2, '41', 'Warrant', 0, 0, 1, 0, 0, 1, 1], [1, 'Middle-Eastern', 'M', 2, 'XX', 'Warrant', 0, 0, 0, 0, 0, 1, 1], [1, 'Middle-Eastern', 'M', 2, '52', 'Warrant', 0, 0, 0, 0, 1, 1, 1], [1, 'Middle-Eastern', 'M', 2, '41', 'Warrant', 1, 0, 0, 0, 0, 1, 1], [1, 'Middle-Eastern', 'M', 2, '11', 'Warrant', 0, 0, 0, 0, 1, 1, 1], [1, 'Middle-Eastern', 'M', 2, '23', 'Warrant', 0, 0, 0, 0, 1, 1, 1]]"
3,Black,M,1,XX,Mischief,0,0,0,0,0,1,"[[3, 'Black', 'M', 1, '53', 'Mischief', 1, 0, 1, 0, 0, 1, 1], [3, 'Black', 'M', 1, '53', 'Mischief', 1, 0, 1, 0, 0, 1, 1]]"
4,White,F,2,53,Mischief & Fraud,0,0,0,0,0,0,"[[4, 'White', 'F', 2, '43', 'Mischief & Fraud', 0, 0, 0, 1, 0, 0, 1], [4, 'White', 'F', 2, '53', 'Mischief & Fraud', 1, 0, 0, 0, 0, 0, 1], [4, 'White', 'F', 2, '14', 'Mischief & Fraud', 0, 0, 0, 0, 0, 0, 1], [4, 'White', 'F', 2, '14', 'Mischief & Fraud', 0, 0, 0, 1, 0, 0, 1], [4, 'White', 'F', 2, '14', 'Mischief & Fraud', 0, 0, 0, 0, 0, 0, 1], [4, 'White', 'F', 2, '53', 'Mischief & Fraud', 1, 0, 0, 0, 0, 0, 1], [4, 'White', 'F', 2, '51', 'Mischief & Fraud', 1, 0, 0, 0, 0, 0, 1], [4, 'White', 'F', 2, '53', 'Mischief & Fraud', 0, 0, 0, 1, 0, 1, 1], [4, 'White', 'F', 2, '53', 'Mischief & Fraud', 0, 0, 0, 0, 0, 0, 1], [4, 'White', 'F', 2, '51', 'Mischief & Fraud', 0, 1, 0, 0, 0, 0, 1]]"
3,Unknown or Legacy,M,6,XX,Assault & Other crimes against persons,0,0,0,0,0,1,"[[3, 'Unknown or Legacy', 'M', 6, '53', 'Assault & Other crimes against persons', 0, 0, 0, 0, 0, 1, 1], [3, 'Unknown or Legacy', 'M', 6, '52', 'Assault & Other crimes against persons', 1, 1, 0, 0, 0, 1, 1], [3, 'Unknown or Legacy', 'M', 6, '55', 'Assault & Other crimes against persons', 1, 0, 0, 0, 0, 0, 1], [3, 'Unknown or Legacy', 'M', 6, '55', 'Assault & Other crimes against persons', 1, 0, 0, 0, 0, 1, 1], [3, 'Unknown or Legacy', 'M', 6, '52', 'Assault & Other crimes against persons', 1, 0, 0, 0, 0, 1, 1], [3, 'Unknown or Legacy', 'M', 6, '52', 'Assault & Other crimes against persons', 1, 0, 0, 0, 0, 1, 1], [3, 'Unknown or Legacy', 'M', 6, '51', 'Assault & Other crimes against persons', 0, 0, 1, 0, 0, 1, 1], [3, 'Unknown or Legacy', 'M', 6, '55', 'Assault & Other crimes against persons', 0, 0, 0, 0, 0, 1, 1], [3, 'Unknown or Legacy', 'M', 6, '51', 'Assault & Other crimes against persons', 1, 0, 0, 0, 0, 1, 1], [3, 'Unknown or Legacy', 'M', 6, '51', 'Assault & Other crimes against persons', 0, 0, 0, 0, 0, 0, 1]]"
0,Black,M,1,31,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,1,"[[0, 'Black', 'M', 1, '53', 'FTA/FTC/Compliance Check/Parollee', 0, 0, 0, 0, 0, 1, 1], [0, 'Black', 'M', 1, '52', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 1, 0, 0, 1, 1], [0, 'Black', 'M', 1, '14', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 0, 0, 0, 1, 1], [0, 'Black', 'M', 1, '14', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 0, 0, 0, 1, 1], [0, 'Black', 'M', 1, '43', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 0, 0, 0, 1, 1], [0, 'Black', 'M', 1, '53', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 0, 0, 1, 1, 1], [0, 'Black', 'M', 1, '53', 'FTA/FTC/Compliance Check/Parollee', 0, 0, 0, 0, 0, 1, 1], [0, 'Black', 'M', 1, '43', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 0, 0, 0, 0, 1], [0, 'Black', 'M', 1, '53', 'FTA/FTC/Compliance Check/Parollee', 0, 0, 0, 0, 0, 1, 1], [0, 'Black', 'M', 1, '43', 'FTA/FTC/Compliance Check/Parollee', 1, 0, 1, 0, 0, 1, 1]]"
3,Black,M,3,23,Assault & Other crimes against persons,0,1,0,0,0,1,"[[3, 'Black', 'M', 3, '43', 'Assault & Other crimes against persons', 0, 1, 0, 0, 0, 1, 1], [3, 'Black', 'M', 3, '14', 'Assault & Other crimes against persons', 0, 1, 0, 0, 0, 1, 1], [3, 'Black', 'M', 3, '43', 'Assault & Other crimes against persons', 0, 1, 0, 0, 0, 1, 1], [3, 'Black', 'M', 3, '12', 'Assault & Other crimes against persons', 0, 1, 0, 0, 0, 1, 1], [3, 'Black', 'M', 3, '42', 'Assault & Other crimes against persons', 0, 0, 0, 0, 0, 1, 1], [3, 'Black', 'M', 3, '13', 'Assault & Other crimes against persons', 0, 1, 0, 0, 0, 1, 1], [3, 'Black', 'M', 3, '41', 'Assault & Other crimes against persons', 0, 1, 0, 0, 0, 1, 1], [3, 'Black', 'M', 3, '51', 'Assault & Other crimes against persons', 0, 1, 0, 1, 0, 1, 1], [3, 'Black', 'M', 3, '54', 'Assault & Other crimes against persons', 0, 1, 0, 0, 0, 1, 1], [3, 'Black', 'M', 3, '53', 'Assault & Other crimes against persons', 0, 1, 0, 0, 0, 1, 1]]"
3,White,M,4,XX,Robbery/Theft,0,0,0,0,0,0,"[[3, 'White', 'M', 4, '53', 'Robbery/Theft', 0, 0, 1, 0, 0, 0, 1], [3, 'White', 'M', 4, '53', 'Robbery/Theft', 1, 0, 0, 0, 0, 0, 1], [3, 'White', 'M', 4, '53', 'Robbery/Theft', 0, 0, 0, 0, 0, 0, 1], [3, 'White', 'M', 4, '53', 'Robbery/Theft', 0, 1, 0, 0, 0, 0, 1], [3, 'White', 'M', 4, '53', 'Robbery/Theft', 0, 0, 0, 0, 0, 0, 1], [3, 'White', 'M', 4, '53', 'Robbery/Theft', 0, 0, 0, 0, 0, 0, 1], [3, 'White', 'M', 4, '53', 'Robbery/Theft', 0, 0, 1, 0, 0, 1, 1], [3, 'White', 'M', 4, '53', 'Robbery/Theft', 1, 0, 1, 0, 0, 0, 1], [3, 'White', 'M', 4, '53', 'Robbery/Theft', 0, 1, 0, 0, 0, 0, 1]]"
